name,mass,quantity,price,proteins,fats,carbohydrates,calories,link
Запеканка творожная с манго,150.0,0,188,7.8,11.8,15.8,200.6,https://rtw.vkusvill.ru/goods/zapekanka-tvorozhnaya-s-mango-53876.html
Бургер «Богатырь»,315.0,0,435,10.6,25.1,14.1,325,https://rtw.vkusvill.ru/goods/burger-bogatyr-60795.html
"Блины пшеничные, 500 г_РП",500.0,0,229,4.3,13.2,34.9,275.6,https://rtw.vkusvill.ru/goods/bliny-pshenichnye-500-g-rp-80547.html
Картофельная вафля с беконом и яйцом,220.0,0,365,7.7,14.8,17.6,234,https://rtw.vkusvill.ru/goods/kartofelnaya-vaflya-s-bekonom-i-yaytsom-53919.html
Блины с мясом,210.0,4,222,11,19.9,25.6,325.5,https://rtw.vkusvill.ru/goods/bliny-s-myasom-19347.html
"Грибы древесные черные моэр маринованные, 210 г",210.0,4,240,0.7,15.5,10.1,182.7,https://rtw.vkusvill.ru/goods/griby-drevesnye-chernye-moer-marinovannye-210-g-78499.html
Оладьи куриные со спагетти и томатным соусом,200.0,0,228,10.1,8.7,17.8,189.9,https://rtw.vkusvill.ru/goods/oladi-kurinye-so-spagetti-i-tomatnym-sousom-74323.html
Комбо: Суп-пюре из цветной капусты с сыром + Котлета куриная «Солнышко» с картофельным пюре,550.0,0,487,,,,,https://rtw.vkusvill.ru/goods/kombo-sup-pyure-iz-tsvetnoy-kapusty-s-syrom-kotleta-kurinaya-solnyshko-s-kartofelnym-pyure-71205.html
Борщ с говядиной,390.0,36,198,,,,,https://rtw.vkusvill.ru/goods/borshch-s-govyadinoy-42530.html
Блины с вишней,210.0,12,196,4.8,8.5,28.2,208.5,https://rtw.vkusvill.ru/goods/bliny-s-vishney-24132.html
Салат из свеклы с черносливом и грецкими орехами,150.0,10,118,,,,,https://rtw.vkusvill.ru/goods/salat-iz-svekly-s-chernoslivom-i-gretskimi-orekhami-79208.html
Бризоль из рыбы с рисом басмати,230.0,4,208,8.6,4.3,29.6,191.5,https://rtw.vkusvill.ru/goods/brizol-iz-ryby-s-risom-basmati-74667.html
Онигири с форелью,110.0,2,186,6.2,5.3,36.6,218.9,https://rtw.vkusvill.ru/goods/onigiri-s-forelyu-63605.html
Не «мясная» пита в красном,285.0,0,330,7.1,8.2,15.1,160,https://rtw.vkusvill.ru/goods/ne-myasnaya-pita-v-krasnom-70040.html
Говядина в сливочном соусе с гречкой,280.0,0,336,10.5,9.15,17.3,193,https://rtw.vkusvill.ru/goods/govyadina-v-slivochnom-souse-s-grechkoy-75327.html
Креветки с рисом и соусом «карри»,250.0,2,348,6.6,5.5,39.1,232.3,https://rtw.vkusvill.ru/goods/krevetki-s-risom-i-sousom-karri-39293.html
Паровая булочка с курицей,160.0,0,220,10.5,8.1,17,182.9,https://rtw.vkusvill.ru/goods/parovaya-bulochka-s-kuritsey-61053.html
Паста Соба с креветками и соусом Терияки,265.0,0,448,5.3,1,20,110.2,https://rtw.vkusvill.ru/goods/pasta-soba-s-krevetkami-i-sousom-teriyaki-85571.html
Суп «Умницы»,300.0,0,204,4.6,2.7,3.7,57.5,https://rtw.vkusvill.ru/goods/sup-umnitsy-72632.html
"Блины с курицей в сливочном соусе, 160 грамм",160.0,0,196,11.5,13.5,14.5,225.5,https://rtw.vkusvill.ru/goods/bliny-s-kuritsey-v-slivochnom-souse-160-gramm-65042.html
Сэндвич ролл с курицей «Тандури»,190.0,0,220,7.2,10.9,19.8,206.1,https://rtw.vkusvill.ru/goods/sendvich-roll-s-kuritsey-tanduri-38114.html
"Тост сытный с лососем, сливочным сыром и авокадо",220.0,0,378,9.3,13.9,9.1,198,https://rtw.vkusvill.ru/goods/tost-sytnyy-s-lososem-slivochnym-syrom-i-avokado-81130.html
Пицца с ветчиной куриной и сыром (мини),90.0,4,130,14,7.1,29.7,238.7,https://rtw.vkusvill.ru/goods/pitstsa-s-vetchinoy-kurinoy-i-syrom-mini-37523.html
Суп щавелевый с курицей и сметаной,350.0,0,288,4.05,3.17,3.14,55,https://rtw.vkusvill.ru/goods/sup-shchavelevyy-s-kuritsey-i-smetanoy-78990.html
"Чиабатта с курицей, моцареллой и омлетом, кафе",215.0,8,220,12,20.3,25.8,333.9,https://rtw.vkusvill.ru/goods/chiabatta-s-kuritsey-motsarelloy-i-omletom-kafe-39249.html
"Филе трески с картофельно-тыквенным пюре, 260 грамм",260.0,0,296,6.2,8,4.8,116,https://rtw.vkusvill.ru/goods/file-treski-s-kartofelno-tykvennym-pyure-260-gramm-65049.html
"Суп «Гороховый» с копчёностями, 390 грамм",390.0,0,188,3.4,6.5,4.4,89.7,https://rtw.vkusvill.ru/goods/sup-gorokhovyy-s-kopchyenostyami-390-gramm-61043.html
"Пирог осетинский «Мясо и картошка», 250 г",250.0,2,255,10.5,8.4,23.3,210.8,https://rtw.vkusvill.ru/goods/pirog-osetinskiy-myaso-i-kartoshka-250-g-78651.html
Салат «Столичный» с курицей_РП,150.0,0,130,8.1,13,22.5,251,https://rtw.vkusvill.ru/goods/salat-stolichnyy-s-kuritsey-rp-77190.html
Салат с запеченной тыквой и крем чизом,180.0,0,230,2.5,13.4,5.8,153.8,https://rtw.vkusvill.ru/goods/salat-s-zapechennoy-tykvoy-i-krem-chizom-67828.html
Макароны с курицей и грибами,200.0,8,208,9.2,8.4,14.8,171.6,https://rtw.vkusvill.ru/goods/makarony-s-kuritsey-i-gribami-34804.html
Куриный шницель запеченный под сыром с картофелем-мини,227.0,0,403,9.4,12.76,10.69,197,https://rtw.vkusvill.ru/goods/kurinyy-shnitsel-zapechennyy-pod-syrom-s-kartofelem-mini-68163.html
"Салат «Оливье» с говядиной, 600 г",600.0,4,890,7.6,16,6.9,202,https://rtw.vkusvill.ru/goods/salat-olive-s-govyadinoy-600-g-85030.html
Сэндвич ролл со свининой «Спайси»,175.0,2,238,10.8,19.1,23.2,307.9,https://rtw.vkusvill.ru/goods/sendvich-roll-so-svininoy-spaysi-68610.html
Хот-Дог с куриной люля,170.0,0,315,13.2,22.7,17.8,331,https://rtw.vkusvill.ru/goods/khot-dog-s-kurinoy-lyulya-77131.html
"Блины с заварным кремом, мягким сыром и клубникой",160.0,4,166,6.3,9.4,27.4,219.4,https://rtw.vkusvill.ru/goods/bliny-s-zavarnym-kremom-myagkim-syrom-i-klubnikoy-47819.html
"Картофель отварной с укропом, 500 г",500.0,0,220,2,3,16.9,102.6,https://rtw.vkusvill.ru/goods/kartofel-otvarnoy-s-ukropom-500-g-72937.html
Лапша удон с курицей и овощами_РП,250.0,0,205,8.67,8.89,21.49,200.65,https://rtw.vkusvill.ru/goods/lapsha-udon-s-kuritsey-i-ovoshchami-rp-77229.html
Паста «Карбонара»_РП,250.0,0,231,9.6,14.4,23.8,260,https://rtw.vkusvill.ru/goods/pasta-karbonara-rp-72531.html
"Бефстроганов из говяжьей вырезки с пюре, моченой брусникой и луковыми чипсами",300.0,4,498,6.9,17.5,8.7,219.9,https://rtw.vkusvill.ru/goods/befstroganov-iz-govyazhey-vyrezki-s-pyure-mochenoy-brusnikoy-i-lukovymi-chipsami-82609.html
Тефтели куриные с томатным соусом и гречкой,300.0,0,186,9.8,4.7,19.2,158.3,https://rtw.vkusvill.ru/goods/tefteli-kurinye-s-tomatnym-sousom-i-grechkoy-42843.html
Зразы картофельные с сыром и грибами с соусом цезарь,250.0,0,271,3.8,16.8,17.6,241,https://rtw.vkusvill.ru/goods/zrazy-kartofelnye-s-syrom-i-gribami-s-sousom-tsezar-82205.html
Салат с курицей и черносливом,170.0,0,188,9.8,12.1,7.5,178.1,https://rtw.vkusvill.ru/goods/salat-s-kuritsey-i-chernoslivom-70533.html
"Беляши с мясом, 320 г",320.0,4,330,8.2,23.1,31.6,367.1,https://rtw.vkusvill.ru/goods/belyashi-s-myasom-320-g-72682.html
"Кутабы с сыром, творогом и зеленью, 275 г",275.0,4,303,12,6.1,33.8,238.1,https://rtw.vkusvill.ru/goods/kutaby-s-syrom-tvorogom-i-zelenyu-275-g-73701.html
Суп «Гороховый» с копчёностями,390.0,24,208,4.1,6.3,10.2,113.9,https://rtw.vkusvill.ru/goods/sup-gorokhovyy-s-kopchyenostyami-16417.html
Котлета из щуки (2 шт.) с картофельным пюре,350.0,0,359,8.08,6.78,12.22,143,https://rtw.vkusvill.ru/goods/kotleta-iz-shchuki-2-sht-s-kartofelnym-pyure-54373.html
Салат с баклажаном и сыром «Фета»,185.0,4,220,3.9,16.7,8.6,200.3,https://rtw.vkusvill.ru/goods/salat-s-baklazhanom-i-syrom-feta-37929.html
Солянка из семги и форели,300.0,12,228,3.5,3.1,5.6,64.3,https://rtw.vkusvill.ru/goods/solyanka-iz-semgi-i-foreli-41303.html
"Салат «Оливье», 150 г",150.0,24,155,5.7,19.6,6.6,225.6,https://rtw.vkusvill.ru/goods/salat-olive-150-g-25290.html
Суп Том ям с курицей,270.0,19,226,3.5,6.2,3.6,84.2,https://rtw.vkusvill.ru/goods/sup-tom-yam-s-kuritsey-68307.html
Оладьи куриные,160.0,12,230,,,,,https://rtw.vkusvill.ru/goods/oladi-kurinye-28997.html
Мини-сырники из козьего творога,140.0,0,348,16.1,10,30.1,166.8,https://rtw.vkusvill.ru/goods/mini-syrniki-iz-kozego-tvoroga-83216.html
Манты по-восточному,200.0,4,268,7.7,9.2,22.4,203.2,https://rtw.vkusvill.ru/goods/manty-po-vostochnomu-83097.html
Котлета куриная с картофельным пюре,250.0,4,238,,,,,https://rtw.vkusvill.ru/goods/kotleta-kurinaya-s-kartofelnym-pyure-20969.html
Рис азиатский с креветками аргентинскими и овощами,250.0,10,250,4.9,4.5,25.9,163.7,https://rtw.vkusvill.ru/goods/ris-aziatskiy-s-krevetkami-argentinskimi-i-ovoshchami-50070.html
Ролл «Симфония» с жареным лососем и соусом Васаби,90.0,0,180,5.3,6.6,24.7,179.4,https://rtw.vkusvill.ru/goods/roll-simfoniya-s-zharenym-lososem-i-sousom-vasabi-74895.html
"Салат с курицей, ананасами и сельдереем",155.0,6,188,14.3,14.6,4.8,207.8,https://rtw.vkusvill.ru/goods/salat-s-kuritsey-ananasami-i-seldereem-70519.html
"Парфе-гранола тропическая с манго и голубикой, 345 г",345.0,0,273,5.1,4.9,17.2,133,https://rtw.vkusvill.ru/goods/parfe-granola-tropicheskaya-s-mango-i-golubikoy-345-g-80489.html
"Каша пшенная молочная с тыквой, 250 г",250.0,7,166,1.7,2.6,13.5,84.2,https://rtw.vkusvill.ru/goods/kasha-pshennaya-molochnaya-s-tykvoy-250-g-68804.html
Солянка мясная сборная,390.0,0,288,4.5,5.8,2.8,81.4,https://rtw.vkusvill.ru/goods/solyanka-myasnaya-sbornaya-83100.html
Бифштекс говяжий с яйцом и картофельным пюре,380.0,0,390,7.1,19,8.6,235,https://rtw.vkusvill.ru/goods/bifshteks-govyazhiy-s-yaytsom-i-kartofelnym-pyure-82737.html
"Салат «Винегрет», 600 г",600.0,6,320,1.4,5.9,10.2,99.5,https://rtw.vkusvill.ru/goods/salat-vinegret-600-g-71616.html
Плов со свининой_РП,250.0,0,200,15,17,53,420,https://rtw.vkusvill.ru/goods/plov-so-svininoy-rp-75586.html
"Чиабатта с курицей, 205 г",205.0,6,238,9.7,16.2,24.8,283.8,https://rtw.vkusvill.ru/goods/chiabatta-s-kuritsey-205-g-39535.html
Суп-пюре норвежский с семгой,300.0,4,228,1.2,1.7,5.1,40.5,https://rtw.vkusvill.ru/goods/sup-pyure-norvezhskiy-s-semgoy-29907.html
Суп «Куриный» с домашней лапшой_РП,300.0,0,140,6,6,12,126,https://rtw.vkusvill.ru/goods/sup-kurinyy-s-domashney-lapshoy-rp-75585.html
Макарошки с фрикадельками из говядины,150.0,0,348,6.6,9.1,15.5,170.3,https://rtw.vkusvill.ru/goods/makaroshki-s-frikadelkami-iz-govyadiny-83386.html
"Пирожки постные с яблоками, 90 г, (2 шт)",90.0,7,104,6.2,7.8,54.8,314.2,https://rtw.vkusvill.ru/goods/pirozhki-postnye-s-yablokami-90-g-2-sht-43330.html
Большая порция сырников с малиной,410.0,0,361,14.1,8.6,22.3,223,https://rtw.vkusvill.ru/goods/bolshaya-portsiya-syrnikov-s-malinoy-52814.html
Биточки куриные с овощами на пару_РП,250.0,0,190,7.9,2.9,11.3,102.9,https://rtw.vkusvill.ru/goods/bitochki-kurinye-s-ovoshchami-na-paru-rp-77187.html
