name,mass,quantity,price,proteins,fats,carbohydrates,calories,link
"Гречневая лапша с овощами, 200 грамм",200.0,0,158,5.1,2.3,22.3,130.3,https://rtw.vkusvill.ru/goods/grechnevaya-lapsha-s-ovoshchami-200-gramm-65044.html
Комбо-перекус (салат + сэндвич),320.0,0,326,31,54,63,862,https://rtw.vkusvill.ru/goods/kombo-perekus-salat-sendvich-85720.html
Хумус «Иерусалимский»,200.0,11,188,7.3,17.8,16.1,253.8,https://rtw.vkusvill.ru/goods/khumus-ierusalimskiy-53716.html
Салат «Цезарь» с тигровыми креветками и гренками из багета,250.0,0,488,10,9.5,6,149.5,https://rtw.vkusvill.ru/goods/salat-tsezar-s-tigrovymi-krevetkami-i-grenkami-iz-bageta-82511.html
Борщ «Украинский»,390.0,12,178,3.4,1.1,10.5,65.5,https://rtw.vkusvill.ru/goods/borshch-ukrainskiy-18361.html
"Суп грибной, 300 г",300.0,0,186,1.0,0.1,5.0,24.9,https://rtw.vkusvill.ru/goods/sup-gribnoy-300-g-44772.html
Гречка с котлетами из индейки,220.0,6,250,12.7,5.4,13.8,154.6,https://rtw.vkusvill.ru/goods/grechka-s-kotletami-iz-indeyki-46647.html
"Похлебка грибная, 1 кг",1000.0,2,510,0.4,3.3,9.3,68.5,https://rtw.vkusvill.ru/goods/pokhlebka-gribnaya-1-kg-60657.html
"Борщ с говядиной, 1 кг",1000.0,20,452,4.2,3.6,5,69.2,https://rtw.vkusvill.ru/goods/borshch-s-govyadinoy-1-kg-67837.html
"Блины с шоколадной пастой, фундуком и изюмом",150.0,0,186,6.1,14.4,29.2,270.8,https://rtw.vkusvill.ru/goods/bliny-s-shokoladnoy-pastoy-fundukom-i-izyumom-78476.html
Суп с куриными фрикадельками и пастой «Звездочки»,300.0,26,158,2.6,0.3,5.2,33.9,https://rtw.vkusvill.ru/goods/sup-s-kurinymi-frikadelkami-i-pastoy-zvezdochki-61602.html
"Сосиска в тесте (свинина, говядина), 2 шт.",180.0,12,185,17.1,7.8,23.8,233.8,https://rtw.vkusvill.ru/goods/sosiska-v-teste-svinina-govyadina-2-sht-59515.html
"Равиоли с сыром пармезан и шпинатом, 245 г",245.0,0,380,14.2,13.4,30.8,300.6,https://rtw.vkusvill.ru/goods/ravioli-s-syrom-parmezan-i-shpinatom-245-g-48658.html
Салат с ростбифом и моцареллой с соусом из томатов,220.0,4,388,10.6,15.6,4.6,201.2,https://rtw.vkusvill.ru/goods/salat-s-rostbifom-i-motsarelloy-s-sousom-iz-tomatov-81356.html
Фунчоза с курицей и овощами в сладком соусе чили,200.0,8,198,3.3,6.2,12.3,118.2,https://rtw.vkusvill.ru/goods/funchoza-s-kuritsey-i-ovoshchami-v-sladkom-souse-chili-67266.html
Шницель куриный в сырной панировке с макаронами,230.0,6,280,12.4,13,24.2,263.4,https://rtw.vkusvill.ru/goods/shnitsel-kurinyy-v-syrnoy-panirovke-s-makaronami-59037.html
Биточки курин. с цукини с пюре из батата,200.0,0,218,11.5,11.2,4.3,169.2,https://rtw.vkusvill.ru/goods/bitochki-kurin-s-tsukini-s-pyure-iz-batata-36801.html
Комбо-завтрак (Омлет + Каша),365.0,0,270,30,30,33,520,https://rtw.vkusvill.ru/goods/kombo-zavtrak-omlet-kasha-84279.html
Макарошки по-флотски,150.0,0,348,9.5,10.2,14.8,189,https://rtw.vkusvill.ru/goods/makaroshki-po-flotski-83388.html
Омлет запеченный с муссом из филе лосося,165.0,2,198,13.8,11.1,11.4,200.7,https://rtw.vkusvill.ru/goods/omlet-zapechennyy-s-mussom-iz-file-lososya-48193.html
Хумус с вялеными помидорами,200.0,25,206,,,,,https://rtw.vkusvill.ru/goods/khumus-s-vyalenymi-pomidorami-21408.html
Удон с курицей в соусе «Том-ям»_РП,210.0,0,236,7.3,6.4,17.8,158,https://rtw.vkusvill.ru/goods/udon-s-kuritsey-v-souse-tom-yam-rp-74455.html
"Чиабатта ржаная с индейкой и соусом песто, кафе",180.0,2,220,12.9,8.8,30.8,254,https://rtw.vkusvill.ru/goods/chiabatta-rzhanaya-s-indeykoy-i-sousom-pesto-kafe-60022.html
"Чиабатта с тунцом и яйцом, кафе",180.0,6,220,,,,,https://rtw.vkusvill.ru/goods/chiabatta-s-tuntsom-i-yaytsom-kafe-60021.html
Суп «Грибной»,350.0,0,140,1.4,1,9.8,53.8,https://rtw.vkusvill.ru/goods/sup-gribnoy-55130.html
"Голубцы ленивые из мяса птицы, 200 грамм",200.0,0,198,4.9,1.7,11.2,79.7,https://rtw.vkusvill.ru/goods/golubtsy-lenivye-iz-myasa-ptitsy-200-gramm-65047.html
Печеночные оладьи со сметаной,220.0,0,299,15.9,17.6,16.2,286.8,https://rtw.vkusvill.ru/goods/pechenochnye-oladi-so-smetanoy-75181.html
Сэндвич ролл с лососем (кетой),175.0,20,228,8.8,5.4,21.3,169,https://rtw.vkusvill.ru/goods/sendvich-roll-s-lososem-ketoy-17580.html
"Бефстроганов из говядины с картофельным пюре, 800 г",800.0,4,830,5.5,7.6,8.5,124.4,https://rtw.vkusvill.ru/goods/befstroganov-iz-govyadiny-s-kartofelnym-pyure-800-g-72191.html
Спаржа по-корейски,150.0,0,238,14.4,13.7,3.3,194.1,https://rtw.vkusvill.ru/goods/sparzha-po-koreyski-79660.html
Кутабы с зеленью,150.0,0,181,8,14.3,35,300.7,https://rtw.vkusvill.ru/goods/kutaby-s-zelenyu-40259.html
Стейк из лосося с картофельным пюре,220.0,4,386,11.8,9.6,28.7,248.4,https://rtw.vkusvill.ru/goods/steyk-iz-lososya-s-kartofelnym-pyure-71054.html
Уха «Норвежская»,310.0,0,290,6,6.1,7.9,110.5,https://rtw.vkusvill.ru/goods/ukha-norvezhskaya-82630.html
"Суп-пюре «Сырный» с гренками, 260 г",260.0,18,268,,,,,https://rtw.vkusvill.ru/goods/sup-pyure-syrnyy-s-grenkami-260-g-50163.html
"Салат «Сельдь под шубой», 150 г_РП",150.0,0,125,4.7,19.4,8.7,228.2,https://rtw.vkusvill.ru/goods/salat-seld-pod-shuboy-150-g-rp-77189.html
Блин-омлет с куриным филе,140.0,6,186,16.9,20,1.8,254.8,https://rtw.vkusvill.ru/goods/blin-omlet-s-kurinym-file-38118.html
"Конвертики с курицей, сыром и томатами с зеленью",140.0,2,270,16.4,23.5,24,373.1,https://rtw.vkusvill.ru/goods/konvertiki-s-kuritsey-syrom-i-tomatami-s-zelenyu-76016.html
Котлета куриная «Солнышко» с картофельным пюре,250.0,0,296,8.9,12.4,12.1,195.1,https://rtw.vkusvill.ru/goods/kotleta-kurinaya-solnyshko-s-kartofelnym-pyure-64022.html
Чебуреки с мясом,120.0,0,195,10,13.8,25.2,265,https://rtw.vkusvill.ru/goods/chebureki-s-myasom-57963.html
Сырники с малиной и сметаной,270.0,0,242,14.1,8.6,22.3,223,https://rtw.vkusvill.ru/goods/syrniki-s-malinoy-i-smetanoy-44764.html
Салат винегрет с квашеной капустой,250.0,12,150,,,,,https://rtw.vkusvill.ru/goods/salat-vinegret-s-kvashenoy-kapustoy-22930.html
Суп-пюре с грибами пастеризованный_РП,250.0,0,210,8.3,10,3.2,136,https://rtw.vkusvill.ru/goods/sup-pyure-s-gribami-pasterizovannyy-rp-80599.html
Цыплёнок в пряном соусе «Тикка Масала» с рисом_РП,230.0,0,260,11.5,10.7,22.3,231.5,https://rtw.vkusvill.ru/goods/tsyplyenok-v-pryanom-souse-tikka-masala-s-risom-rp-76806.html
"Борщ с говядиной, 390 г_РП",390.0,0,169,2,2.3,3.9,44.3,https://rtw.vkusvill.ru/goods/borshch-s-govyadinoy-390-g-rp-80164.html
Рисовая каша с тыквой и ванилью,250.0,0,198,2.2,3.2,14.4,95.2,https://rtw.vkusvill.ru/goods/risovaya-kasha-s-tykvoy-i-vanilyu-72212.html
Сэндвич ролл с курицей и соусом чипотле_РП,180.0,0,196,7.8,1.5,21,128.7,https://rtw.vkusvill.ru/goods/sendvich-roll-s-kuritsey-i-sousom-chipotle-rp-81382.html
Цыпленок в кисло-сладком соусе с рисом и овощами_РП,250.0,0,259,7.4,1.2,19.6,118.8,https://rtw.vkusvill.ru/goods/tsyplenok-v-kislo-sladkom-souse-s-risom-i-ovoshchami-rp-70264.html
Комбо-обед (салат + второе),430.0,0,430,32,28,50,519,https://rtw.vkusvill.ru/goods/kombo-obed-salat-vtoroe-83906.html
Пироги «По-корейски» с мясом,280.0,2,223,,,,,https://rtw.vkusvill.ru/goods/pirogi-po-koreyski-s-myasom-21158.html
"Пицца «Чикен Песто», охлажденная",400.0,7,410,13.9,11.3,22.1,245.7,https://rtw.vkusvill.ru/goods/pitstsa-chiken-pesto-okhlazhdennaya-61333.html
Каша рисовая молочная_РП,250.0,0,180,3,2,17.2,98.8,https://rtw.vkusvill.ru/goods/kasha-risovaya-molochnaya-rp-75579.html
Паста «Фетучини» с индейкой и грибами в сливочно-томатном соусе,270.0,0,440,8.1,5.4,16,145,https://rtw.vkusvill.ru/goods/pasta-fetuchini-s-indeykoy-i-gribami-v-slivochno-tomatnom-souse-70066.html
"Мясо по-французски с печеным картофелем, 250 грамм",250.0,0,286,10.4,12.4,9,189.2,https://rtw.vkusvill.ru/goods/myaso-po-frantsuzski-s-pechenym-kartofelem-250-gramm-61540.html
Биточки куриные с гречкой и овощами пастеризованные_РП,250.0,0,225,7.5,3.4,15.8,123.8,https://rtw.vkusvill.ru/goods/bitochki-kurinye-s-grechkoy-i-ovoshchami-pasterizovannye-rp-80598.html
Салат «Оливье» с говяжьими щечками,200.0,0,238,10.4,11.5,7.9,176.7,https://rtw.vkusvill.ru/goods/salat-olive-s-govyazhimi-shchechkami-82541.html
Блины с вареной сгущенкой,160.0,2,158,8,13.1,41.7,316.7,https://rtw.vkusvill.ru/goods/bliny-s-varenoy-sgushchenkoy-83770.html
Салат «Норвежский» с лососем,180.0,18,268,,,,,https://rtw.vkusvill.ru/goods/salat-norvezhskiy-s-lososem-24722.html
"Пирожок с картофелем и грибами, кафе рег",50.0,0,55,6.1,8.4,37.5,250,https://rtw.vkusvill.ru/goods/pirozhok-s-kartofelem-i-gribami-kafe-reg-51472.html
Сосиска в слоеном тесте с сыром и горчицей,105.0,4,173,8.3,25.8,15.4,327,https://rtw.vkusvill.ru/goods/sosiska-v-sloenom-teste-s-syrom-i-gorchitsey-68814.html
"Каша молочная рисовая пастеризованная, 250 г_РП",250.0,0,176,2.8,6.4,17,136.8,https://rtw.vkusvill.ru/goods/kasha-molochnaya-risovaya-pasterizovannaya-250-g-rp-77902.html
Запеканка классическая,,1,600,13.9,6.9,17.7,188.5,https://rtw.vkusvill.ru/goods/zapekanka-klassicheskaya-69.html
Сэндвич ролл с креветкой темпура и соусом Спайс,170.0,4,263,6.6,9.6,25.2,213.6,https://rtw.vkusvill.ru/goods/sendvich-roll-s-krevetkoy-tempura-i-sousom-spays-70067.html
Онигири с угрем в соусе Спайси-Унаги,100.0,4,188,6.9,3.7,30.1,181.3,https://rtw.vkusvill.ru/goods/onigiri-s-ugrem-v-souse-spaysi-unagi-79069.html
Салат «Филадельфия»,180.0,14,252,,,,,https://rtw.vkusvill.ru/goods/salat-filadelfiya-40527.html
Сэндвич ролл «Полло Тоннато» с курицей,167.0,4,210,10.1,5.8,23.6,187,https://rtw.vkusvill.ru/goods/sendvich-roll-pollo-tonnato-s-kuritsey-49317.html
Суп-пюре с грибами,270.0,20,188,2,5.6,5.7,81.2,https://rtw.vkusvill.ru/goods/sup-pyure-s-gribami-19435.html
"Борщ с курицей, 350 грамм",350.0,0,134,2.5,0.5,5.5,36.5,https://rtw.vkusvill.ru/goods/borshch-s-kuritsey-350-gramm-61843.html
"Салат из овощей гриль, 200 г",200.0,0,218,0.9,10,7.9,125.2,https://rtw.vkusvill.ru/goods/salat-iz-ovoshchey-gril-200-g-79278.html
Тефтели куриные с картофельным пюре,250.0,0,210,6.4,4.9,8.9,105.3,https://rtw.vkusvill.ru/goods/tefteli-kurinye-s-kartofelnym-pyure-61685.html
Фрикадельки «не мясо» с рисом и томатным соусом,270.0,0,340,7.4,13.2,21.7,233,https://rtw.vkusvill.ru/goods/frikadelki-ne-myaso-s-risom-i-tomatnym-sousom-81127.html
Онигири «Говядина по-корейски»,100.0,2,188,7,3.4,27.5,168.6,https://rtw.vkusvill.ru/goods/onigiri-govyadina-po-koreyski-83045.html
Булочка паровая «Бань Бао» с грибами,135.0,8,160,10,6.8,33.2,234,https://rtw.vkusvill.ru/goods/bulochka-parovaya-ban-bao-s-gribami-83514.html
Вареники постные с картофелем и грибами,250.0,6,230,4.7,6.4,30.8,199.6,https://rtw.vkusvill.ru/goods/vareniki-postnye-s-kartofelem-i-gribami-43609.html
"Шницель куриный в яйце, 360 г",360.0,2,440,19,8,8,180,https://rtw.vkusvill.ru/goods/shnitsel-kurinyy-v-yaytse-360-g-67887.html
"Борщ «Вегетарианский», 390 грамм",390.0,0,155,1.6,3.4,12.8,88.2,https://rtw.vkusvill.ru/goods/borshch-vegetarianskiy-390-gramm-61052.html
Крем-суп тыквенный с сухариками,320.0,0,263,1.2,2.5,5,47.3,https://rtw.vkusvill.ru/goods/krem-sup-tykvennyy-s-sukharikami-67056.html
"Рулетики из ветчины с сырной начинкой, 360 г",360.0,4,740,14.8,20.1,2.6,250.5,https://rtw.vkusvill.ru/goods/ruletiki-iz-vetchiny-s-syrnoy-nachinkoy-360-g-84820.html
Плов с курицей пастеризованный_РП,250.0,0,185,9.4,8.5,20.2,194.9,https://rtw.vkusvill.ru/goods/plov-s-kuritsey-pasterizovannyy-rp-66162.html
Каша гречневая с говядиной_РП,250.0,0,164,6,22,17,290,https://rtw.vkusvill.ru/goods/kasha-grechnevaya-s-govyadinoy-rp-72616.html
Салат винегрет с опятами,180.0,2,190,1.6,5.8,11.6,105,https://rtw.vkusvill.ru/goods/salat-vinegret-s-opyatami-69876.html
Рикотники Апельсиновые,125.0,6,160,8.3,7.3,23.5,192.9,https://rtw.vkusvill.ru/goods/rikotniki-apelsinovye-53319.html
Куриная грудка на гриле с фарфалле в сливочном соусе_РП,210.0,0,270,14.7,9.1,21.7,227.5,https://rtw.vkusvill.ru/goods/kurinaya-grudka-na-grile-s-farfalle-v-slivochnom-souse-rp-76809.html
Щечки томленные с давленным печеным картофелем,300.0,4,426,15,16.3,8.7,241.5,https://rtw.vkusvill.ru/goods/shchechki-tomlennye-s-davlennym-pechenym-kartofelem-81416.html
"Сэндвич ролл с горбушей и яйцом, 155 грамм",155.0,0,208,10.2,11.8,22.7,237.8,https://rtw.vkusvill.ru/goods/sendvich-roll-s-gorbushey-i-yaytsom-155-gramm-68091.html
Салат «Кальмаровый»,180.0,8,258,5.9,24.2,5.2,262.2,https://rtw.vkusvill.ru/goods/salat-kalmarovyy-23760.html
Спаржа с морковью по-корейски,150.0,22,115,,,,,https://rtw.vkusvill.ru/goods/sparzha-s-morkovyu-po-koreyski-54133.html
"Корюшка жареная, вес",,0,1 048,13.8,12.6,3.3,181.4,https://rtw.vkusvill.ru/goods/koryushka-zharenaya-ves-54499.html
"Салатный микс с лососем, брокколи и кукурузой гриль с соусом «Понзу»",235.0,0,518,6.7,4.8,24.6,168.4,https://rtw.vkusvill.ru/goods/salatnyy-miks-s-lososem-brokkoli-i-kukuruzoy-gril-s-sousom-ponzu-81567.html
"Лагман с говядиной, 320 г",320.0,0,219,8,3.2,24,155,https://rtw.vkusvill.ru/goods/lagman-s-govyadinoy-320-g-66768.html
Блинчики с курицей и сметаной,190.0,0,215,8.5,10,30,244,https://rtw.vkusvill.ru/goods/blinchiki-s-kuritsey-i-smetanoy-55994.html
Паста с лососем в сливочном соусе,210.0,16,278,,,,,https://rtw.vkusvill.ru/goods/pasta-s-lososem-v-slivochnom-souse-30220.html
Салат с капустой белокочанной по-корейски,180.0,4,108,1.4,6.8,12,114.8,https://rtw.vkusvill.ru/goods/salat-s-kapustoy-belokochannoy-po-koreyski-66904.html
"Щи из свежей капусты с курицей, 1 кг",1000.0,3,430,1.2,2.9,4.1,47.3,https://rtw.vkusvill.ru/goods/shchi-iz-svezhey-kapusty-s-kuritsey-1-kg-68802.html
Блины с карамельно-банановой начинкой,210.0,4,188,5.6,12.9,35,278.5,https://rtw.vkusvill.ru/goods/bliny-s-karamelno-bananovoy-nachinkoy-74814.html
Салат свекольный с грецким орехом,200.0,12,156,1.9,6,9.6,100,https://rtw.vkusvill.ru/goods/salat-svekolnyy-s-gretskim-orekhom-38977.html
"Суп «Куриный» с домашней лапшой, 390 грамм",390.0,0,176,3.2,3.9,7.2,76.7,https://rtw.vkusvill.ru/goods/sup-kurinyy-s-domashney-lapshoy-390-gramm-61046.html
Суп «Рамен» с индейкой,400.0,8,270,5.1,5.6,12.8,122,https://rtw.vkusvill.ru/goods/sup-ramen-s-indeykoy-70454.html
"Салат с пастрами из индейки, помело и тропическим соусом",190.0,6,348,8.7,6,8,120.8,https://rtw.vkusvill.ru/goods/salat-s-pastrami-iz-indeyki-pomelo-i-tropicheskim-sousom-81415.html
Мама бургер классический,308.0,0,435,8.4,21.94,15.31,290,https://rtw.vkusvill.ru/goods/mama-burger-klassicheskiy-43397.html
"Блины с семгой, 150 г",150.0,6,313,,,,,https://rtw.vkusvill.ru/goods/bliny-s-semgoy-150-g-36843.html
"Суп Гороховый с копченостями, 310 гр.",310.0,0,256,3.4,6.5,4.4,89.7,https://rtw.vkusvill.ru/goods/sup-gorokhovyy-s-kopchenostyami-310-gr-60799.html
Кускус с овощами и котлетами из индейки,220.0,4,250,,,,,https://rtw.vkusvill.ru/goods/kuskus-s-ovoshchami-i-kotletami-iz-indeyki-32387.html
Сэндвич-ролл с куриными стрипсами в тортилье,200.0,10,220,7.6,17.4,24.9,286.6,https://rtw.vkusvill.ru/goods/sendvich-roll-s-kurinymi-stripsami-v-tortile-78929.html
"Похлебка грибная, 270 грамм",270.0,0,168,0.4,3.3,9.3,68.5,https://rtw.vkusvill.ru/goods/pokhlebka-gribnaya-270-gramm-61050.html
Кукуруза гриль с «не мясной» котлетой Hi и соусом,330.0,0,354,2.27,5.04,17.44,143,https://rtw.vkusvill.ru/goods/kukuruza-gril-s-ne-myasnoy-kotletoy-hi-i-sousom-70760.html
Каша овсяная с бананом и голубикой,320.0,0,217,3.8,3,18.7,116.7,https://rtw.vkusvill.ru/goods/kasha-ovsyanaya-s-bananom-i-golubikoy-53917.html
Паста с курицей гриль и сливочно-томатным соусом,235.0,10,246,11,6.7,15.3,165.5,https://rtw.vkusvill.ru/goods/pasta-s-kuritsey-gril-i-slivochno-tomatnym-sousom-34120.html
Мини-сырники,120.0,6,155,14.8,9,23.7,235,https://rtw.vkusvill.ru/goods/mini-syrniki-43320.html
"Сэндвич «Нежный» с курицей, омлетом и моцареллой",215.0,32,222,12.8,17.8,26.4,317,https://rtw.vkusvill.ru/goods/sendvich-nezhnyy-s-kuritsey-omletom-i-motsarelloy-31712.html
Комбо: Колбаска «Баварская» (1 шт.) с картофельным пюре + суп Харчо с говядиной,560.0,0,508,,,,,https://rtw.vkusvill.ru/goods/kombo-kolbaska-bavarskaya-1-sht-s-kartofelnym-pyure-sup-kharcho-s-govyadinoy-71187.html
"Пирожки с капустной начинкой, 160 г (4 шт)",160.0,8,163,6.6,12.8,30.6,264,https://rtw.vkusvill.ru/goods/pirozhki-s-kapustnoy-nachinkoy-160-g-4-sht-75681.html
Паста «Орзо» с лососем в томатно-сливочном соусе,250.0,8,357,10.6,9.4,25.8,230.2,https://rtw.vkusvill.ru/goods/pasta-orzo-s-lososem-v-tomatno-slivochnom-souse-71053.html
Плов с курицей Халяль_РП,220.0,0,210,,,,,https://rtw.vkusvill.ru/goods/plov-s-kuritsey-khalyal-rp-83079.html
"Киш с сыром и овощами, кафе",160.0,0,185,11.1,15.9,19.5,265.5,https://rtw.vkusvill.ru/goods/kish-s-syrom-i-ovoshchami-kafe-27159.html
Пирожки слоеные с капустой,120.0,4,163,6,20.3,30.3,327.9,https://rtw.vkusvill.ru/goods/pirozhki-sloenye-s-kapustoy-53190.html
Котлета рыбная с картофельным пюре,200.0,4,250,7.1,6,12.6,132.8,https://rtw.vkusvill.ru/goods/kotleta-rybnaya-s-kartofelnym-pyure-61688.html
Лепешка с творогом и зеленью,160.0,5,150,15.8,3.5,18.7,169.5,https://rtw.vkusvill.ru/goods/lepeshka-s-tvorogom-i-zelenyu-78935.html
Заливное из филе радужной форели,175.0,0,198,6.5,2,0.7,46.8,https://rtw.vkusvill.ru/goods/zalivnoe-iz-file-raduzhnoy-foreli-85592.html
"Минтай жареный филе, 200 г",200.0,9,198,14.7,8.7,3.6,151.5,https://rtw.vkusvill.ru/goods/mintay-zharenyy-file-200-g-63774.html
"Пирожки с зеленью и яйцом на сметанном тесте, 120 г (2шт)",120.0,0,117,9.9,21.5,26.3,338.3,https://rtw.vkusvill.ru/goods/pirozhki-s-zelenyu-i-yaytsom-na-smetannom-teste-120-g-2sht-46813.html
"Сырники с малиновой начинкой, 120 грамм",120.0,0,155,13.4,10.5,22.1,236.5,https://rtw.vkusvill.ru/goods/syrniki-s-malinovoy-nachinkoy-120-gramm-64076.html
"Салат с курицей, ананасами и сельдереем, 300 г",300.0,6,368,14.4,14.2,5,205.4,https://rtw.vkusvill.ru/goods/salat-s-kuritsey-ananasami-i-seldereem-300-g-76362.html
Шаурма с люля из баранины,250.0,6,281,8.4,8.8,34.8,252,https://rtw.vkusvill.ru/goods/shaurma-s-lyulya-iz-baraniny-76296.html
Суп Солянка сборная с каперсами,300.0,0,299,1.7,2.2,6.1,51,https://rtw.vkusvill.ru/goods/sup-solyanka-sbornaya-s-kapersami-62856.html
"Салат оливье с колбасой, 600 г",600.0,8,520,6,15,5.5,181,https://rtw.vkusvill.ru/goods/salat-olive-s-kolbasoy-600-g-40564.html
"Сэндвич ролл с курицей, вяленой клюквой и арахисом",180.0,2,220,8.7,14.2,25.8,265.8,https://rtw.vkusvill.ru/goods/sendvich-roll-s-kuritsey-vyalenoy-klyukvoy-i-arakhisom-39781.html
"Корюшка жареная, 250 г",250.0,6,278,13.5,11.9,7.4,190.7,https://rtw.vkusvill.ru/goods/koryushka-zharenaya-250-g-60198.html
"Оладьи печеночные, 150 грамм",150.0,0,228,12.5,13.5,12.9,223.1,https://rtw.vkusvill.ru/goods/oladi-pechenochnye-150-gramm-64221.html
Блин сырный по-голландски,140.0,13,188,10.7,23.4,17.7,324.2,https://rtw.vkusvill.ru/goods/blin-syrnyy-po-gollandski-38119.html
Мини сырники фигурные,125.0,11,155,21.1,6.1,26.8,246.5,https://rtw.vkusvill.ru/goods/mini-syrniki-figurnye-70524.html
"Огурцы «битые» по-корейски, 200 г",200.0,6,123,1.3,2.8,4.9,50,https://rtw.vkusvill.ru/goods/ogurtsy-bitye-po-koreyski-200-g-72842.html
"Сэндвич ролл с курицей «Тандури», 190 грамм",190.0,0,220,10.5,13.5,19.7,242.3,https://rtw.vkusvill.ru/goods/sendvich-roll-s-kuritsey-tanduri-190-gramm-71292.html
"Салат «Цезарь» с курицей, 150 г_РП",150.0,0,173,9.8,12.9,7.7,186.1,https://rtw.vkusvill.ru/goods/salat-tsezar-s-kuritsey-150-g-rp-77172.html
"Котлета куриная с картофельным пюре, 400 г",400.0,6,370,12.6,6.6,11.3,155,https://rtw.vkusvill.ru/goods/kotleta-kurinaya-s-kartofelnym-pyure-400-g-58173.html
"Оладьи печеночные, 300 г",300.0,6,378,10.9,11.4,16.2,211,https://rtw.vkusvill.ru/goods/oladi-pechenochnye-300-g-69649.html
Борщ с говядиной Халяль_РП,260.0,0,200,,,,,https://rtw.vkusvill.ru/goods/borshch-s-govyadinoy-khalyal-rp-83086.html
Куриное филе запеченное с кабачками,200.0,0,260,13.9,3.6,3.4,101.6,https://rtw.vkusvill.ru/goods/kurinoe-file-zapechennoe-s-kabachkami-65027.html
Плов с овощами и нутом,250.0,6,160,3.2,8,29.1,201.2,https://rtw.vkusvill.ru/goods/plov-s-ovoshchami-i-nutom-45519.html
Онигири с тунцом в майонезе,100.0,28,168,,,,,https://rtw.vkusvill.ru/goods/onigiri-s-tuntsom-v-mayoneze-20866.html
Плов с говядиной пастеризованный_РП,250.0,0,220,5.3,10.3,20.4,195.8,https://rtw.vkusvill.ru/goods/plov-s-govyadinoy-pasterizovannyy-rp-66167.html
Мясо по-французски с печеным картофелем,250.0,2,286,10.4,12.4,9,189.2,https://rtw.vkusvill.ru/goods/myaso-po-frantsuzski-s-pechenym-kartofelem-54391.html
Хумус «Марокканский» с вялеными томатами,200.0,8,178,8,17.6,15.9,254,https://rtw.vkusvill.ru/goods/khumus-marokkanskiy-s-vyalenymi-tomatami-76892.html
"Кета жареная филе, 200 г",200.0,3,285,21.8,9.6,11.6,220,https://rtw.vkusvill.ru/goods/keta-zharenaya-file-200-g-70274.html
Люля-кебаб из говядины с запеченным мини-картофелем,325.0,0,490,12,15.5,9.13,228,https://rtw.vkusvill.ru/goods/lyulya-kebab-iz-govyadiny-s-zapechennym-mini-kartofelem-76952.html
Ролл «Симфония» с крабовыми палочками,180.0,6,228,3.7,4.1,26.5,157.7,https://rtw.vkusvill.ru/goods/roll-simfoniya-s-krabovymi-palochkami-71190.html
Яичница глазунья с пикантной сосиской и томатами,247.0,0,280,12.8,12.7,1,173,https://rtw.vkusvill.ru/goods/yaichnitsa-glazunya-s-pikantnoy-sosiskoy-i-tomatami-82711.html
Лепешка с зеленью,175.0,18,216,,,,,https://rtw.vkusvill.ru/goods/lepeshka-s-zelenyu-22487.html
"Каша овсяная, 250 г",250.0,2,98,3.4,2.6,14,93,https://rtw.vkusvill.ru/goods/kasha-ovsyanaya-250-g-76778.html
Чиабатта с куриным филе и соусом «Песто»,220.0,2,258,15,19.7,26.9,344.9,https://rtw.vkusvill.ru/goods/chiabatta-s-kurinym-file-i-sousom-pesto-78481.html
Картофель жареный со свининой,200.0,2,248,6.9,19.1,21.4,285.1,https://rtw.vkusvill.ru/goods/kartofel-zharenyy-so-svininoy-69656.html
Рис басмати,250.0,2,138,2.1,1.2,23.7,114,https://rtw.vkusvill.ru/goods/ris-basmati-69880.html
Суп-крем овощной,300.0,8,154,1.8,3.7,4.9,60.1,https://rtw.vkusvill.ru/goods/sup-krem-ovoshchnoy-36634.html
Хумус классический,200.0,14,176,7.3,18.1,13.2,244.9,https://rtw.vkusvill.ru/goods/khumus-klassicheskiy-42845.html
Ежики мясные с отварной гречкой,250.0,6,210,7.4,12,10.2,178.4,https://rtw.vkusvill.ru/goods/ezhiki-myasnye-s-otvarnoy-grechkoy-43719.html
Сосиски куриные с макаронами «Бантики»,260.0,0,264,8.6,8.1,20.2,188,https://rtw.vkusvill.ru/goods/sosiski-kurinye-s-makaronami-bantiki-58615.html
"Шаурма с курицей, 180 г_РП",180.0,0,214,7.9,10.3,23,216.3,https://rtw.vkusvill.ru/goods/shaurma-s-kuritsey-180-g-rp-80569.html
Сосиски куриные с картофельным пюре,210.0,16,208,8.6,8.4,9.5,148,https://rtw.vkusvill.ru/goods/sosiski-kurinye-s-kartofelnym-pyure-79479.html
"Сэндвич ролл с омлетом, ветчиной и сыром, 170 грамм",170.0,0,208,10.9,13.3,20.8,246.5,https://rtw.vkusvill.ru/goods/sendvich-roll-s-omletom-vetchinoy-i-syrom-170-gramm-61948.html
Рис «По-тайски»,250.0,8,206,7.8,7.2,14.8,155.2,https://rtw.vkusvill.ru/goods/ris-po-tayski-18354.html
"Оладьи с яблоком, 330 г",330.0,10,305,5.9,7.1,33.9,223.1,https://rtw.vkusvill.ru/goods/oladi-s-yablokom-330-g-71962.html
Онигирадзу с курицей и соевым соусом,130.0,0,188,8.8,18.1,42.7,368.9,https://rtw.vkusvill.ru/goods/onigiradzu-s-kuritsey-i-soevym-sousom-78050.html
