name,price,quantity
Комбо-завтрак (Омлет + Каша),270,0
Комбо-обед (салат + второе),430,0
Комбо-обед (суп + второе + десерт),605,0
Комбо-обед (суп + второе),435,0
Комбо-обед (суп + салат),405,0
Комбо-обед Вегетарианский (суп+второе+напиток),462,0
Комбо-перекус (салат + смузи),355,0
Комбо-перекус (салат + сэндвич),326,0
"Корюшка жареная, вес",1 048,0
Котлета «Домашняя» (2 шт.) с картофельным пюре,334,0
Котлета «По-киевски» с сырной начинкой с картофельным пюре,268,0
Котлета из щуки (1 шт.) с картофельным пюре,258,0
Котлета из щуки (2 шт.) с картофельным пюре,359,0
Котлета куриная «Солнышко» с картофельным пюре,296,0
Котлета куриная с карт. пюре,216,0
"Котлета куриная с картофельным пюре, 250 г_РП",193,0
Котлета куриная со шпинатом и картофельным пюре_РП,175,0
Котлетка из индейки с картофельным пюре,348,0
Котлетка из цыпленка с булгуром и овощами_РП,250,0
"Креветки «Королевские» неразделанные вареные 50/60 охл., 250 г",325,0
Крем-суп из печеного картофеля с белыми грибами и трюфельным маслом,288,0
Крем-суп тыквенный с сухариками,263,0
Крок Мадам,301,0
Крок Мадам и апельсиновый фреш 500 мл,514,0
Крок Месье,261,0
Крок-Бекон,355,0
Круассан с ветчиной и сыром и апельсиновый фреш 500 мл,478,0
Круассан с лососем и сливочным сыром,373,0
Круассан с лососем и сливочным сыром и апельсиновый фреш 500 мл,610,0
Круассан с сервелатом и сыром,254,0
Крылья куриные с соусом барбекю,292,0
Кукуруза гриль с «не мясной» котлетой Hi и соусом,354,0
Кукуруза гриль с соусом,189,0
Куриная грудка на гриле с фарфалле в сливочном соусе_РП,270,0
Куриная грудка с гречкой и томатным соусом,340,0
Куриное филе запеченное с кабачками,260,0
Куриное филе с грибами и соусом с томленым картофелем,228,0
Куриные шарики с брусничным соусом,473,0
Куриные шарики с картофельным пюре и чесночным соусом,382,0
Куриный люля-кебаб с картофельным пюре,440,0
Куриный шницель запеченный под сыром с картофелем-мини,403,0
Курица «Терияки» с рисом по-сингапурски,248,0
Курица в сливочном соусе с рисом,296,0
Курица с булгуром и овощами пастеризованная_РП,235,0
Курица с овощами и гречкой пастеризованная_РП,199,0
"Лагман с говядиной, 320 г",219,0
Лазанья Болоньезе,438,0
Лапша удон с курицей и овощами_РП,205,0
Ленивые голубцы в сметанном соусе,282,0
"Лепешка с картофелем и грибами (постная), 2 шт",170,0
Лепешка с сулугуни на гриле_РП,115,0
Лосось атлантический (семга) филе на коже на гриле 160г,616,0
Люля-кебаб из говядины с запеченным мини-картофелем,490,0
Макароны «Бантики» в сливочном соусе с курицей и овощами,296,0
Макароны «Бантики» с котлетами и томатным соусом,334,0
Макарошки по-флотски,348,0
Макарошки с фрикадельками из говядины,348,0
Мама бургер классический,435,0
Мама бургер с голубым сыром и вишневым вареньем,435,0
"Мама бургер с голубым сыром и вишневым вареньем + картошка с соусом тысяча островов + напиток Лимонад, 500 мл",519,0
Микро пельмени с индейкой и сметаной,163,0
Мини-сырники из козьего творога,348,0
"Митболы с рисом в соусе барбекю пастеризованные, 270 г_РП",219,0
"Мойва жареная, вес",845,0
Морепродукты в лимонном соусе с пюре «Васаби»,468,0
Набор: Крем-суп грибной + Гречка с говядиной в сливочном соусе,505,0
"Набор: Суп гороховый с копченостями, 330 г + блины с печенью",397,0
Набор: Суп грибной + Котлета «Домашняя» (1 шт.) с картофельным пюре,385,0
Набор: Суп куриный + Паста «Карбонара»,505,0
"Навага жареная, вес",641,0
Не «мясная» пита в белом,321,0
Не «мясная» пита в красном,330,0
Окорочок цыпленка «В дорогу»_РП,204,0
Омлет на козьем молоке,168,0
Омлет с беконом и ветчиной,273,0
Омлет с брокколи,215,0
Омлет с ветчиной и томатами,260,0
Панкейки банановые с клубникой и сгущенным молоком,319,0
Паприкаш куриный с картофельным пюре,304,0
"Парфе-гранола с голубикой, клубникой и йогуртом",244,0
"Парфе-гранола тропическая с манго и голубикой, 345 г",273,0
Паста «Арабьата»_РП,205,0
"Паста «Болоньезе», 250 гр._РП",240,0
"Паста «Болоньезе», 290 г",387,0
Паста «Карбонара»_РП,231,0
Паста «Фетучини» с индейкой и грибами в сливочно-томатном соусе,440,0
Паста «Фетучини» с курицей и соусом «Песто»,427,0
Паста с курицей гриль и сливочно-томатным соусом_РП,226,0
Паста с курицей и соусом песто_РП,235,0
Паста с соусом песто и вялеными томатами Халяль_РП,180,0
Патэ из птицы с копченой уткой и моченой брусникой,318,0
"Пельмени с говядиной и свининой, 275 г",307,0
Пельмени с курицей и укропом,295,0
Перлотто с белыми грибами,336,0
Печеночные оладьи со сметаной,299,0
Пирог «Кальцоне» курица - грибы,165,0
"Пирог осетинский с капустой и яйцом, 250 г",162,0
"Пирог осетинский с курицей, грибами и сыром, 250 г",224,0
"Пирожки жареные с мясом (бездрожжевые), 4 шт",315,0
"Пирожки с капустой и морковью, 2 шт (постные)",95,0
"Пирожки с яблочной начинкой, 160 г (4 шт)",172,0
"Пирожок с вишневой начинкой, кафе",60,0
"Пирожок с вишневой начинкой, кафе рег",60,0
"Пирожок с зеленью и яйцом на кефирном тесте, кафе",50,0
"Пирожок с зеленью и яйцом на кефирном тесте, кафе рег",50,0
"Пирожок с зеленью и яйцом, кафе",60,0
"Пирожок с капустной начинкой, кафе",55,0
Пирожок с капустной начинкой_РП,45,0
"Пирожок с картофелем и грибами, кафе рег",55,0
"Пирожок с куриной начинкой, кафе",70,0
"Пирожок с курицей и шпинатом, кафе рег",60,0
"Пирожок с яблоком 45г, кафе",65,0
"Пирожок с яблочной начинкой, кафе",55,0
"Пицца «Курица, Грибы, Терияки», охлажденная",410,0
Пицца-мини «Кальцоне» с курицей,204,0
Плов по-узбекски с говядиной,271,0
Плов с говядиной пастеризованный_РП,220,0
Плов с курицей пастеризованный_РП,185,0
Плов с курицей Халяль_РП,210,0
Плов с курицей_РП,188,0
Плов со свининой_РП,200,0
"Птитим с филе из индейки, вешенками и кукурузой в сливочном соусе 250г_РП",221,0
"Равиоли с сыром пармезан и шпинатом, 245 г",380,0
"Рагу овощное с кабачками, 450 г",398,0
Ризотто с белыми грибами,421,0
Рикотники Апельсиновые,160,0
Рис с креветками и соусом Том-ям,448,0
Рисовая каша с тыквой и ванилью,198,0
Розанчики творожно-сливочные с начинкой «Вишня»,218,0
Ролл «Симфония» с жареным лососем и соусом Васаби,180,0
"Рулетики из баклажанов с сырной начинкой, 210 г",398,0
"Салат «Гранатовый» с куриным филе, 600 г",550,0
"Салат «Крабовый», 600 г",550,0
Салат «Мимоза» с сайрой_РП,120,0
"Салат «Мимоза», 1 кг",1 148,0
"Салат «Мимоза», 600 грамм",498,0
Салат «Новогодний» с бужениной,300,0
Салат «Окинавский»,210,0
"Салат «Оливье вегетарианский», 600 г",490,0
"Салат «Оливье» с колбасой без майонеза, 1 кг",948,0
"Салат «Оливье» с колбасой, 600 грамм",460,0
"Салат «Оливье» с филе семги, 600 г",650,0
"Салат «Оливье», 1 кг",1 148,0
Салат «Свежесть» Халяль_РП,100,0
"Салат «Сельдь под шубой», 1 кг",948,0
"Салат «Сельдь под шубой», 150 г_РП",125,0
"Салат «Сельдь под шубой», 600 грамм",470,0
Салат «Снегурочка» с мандаринами,350,0
Салат «Столичный» с курицей_РП,130,0
"Салат «Столичный», 600 г",490,0
Салат «Тосканский» с нутом,198,0
Салат «Цезарь» с курицей и кешью_РП,295,0
"Салат «Цезарь» с курицей, 150 г_РП",173,0
Салат Греческий с томатами,250,0
Салат из запеченной свеклы с сыром фета и киноа,176,0
"Салат из овощей гриль, 200 г",218,0
Салат куриный BBQ,350,0
"Салат мимоза, 600 г",498,0
"Салат оливье с колбасой без майонеза, 600 г",450,0
Салат с баклажаном и сыром «Фета»_РП,210,0
Салат с запеченной тыквой и крем чизом,230,0
Салат с индейкой и соусом «Наршараб»_РП,270,0
"Салат с индейкой, копченым куриным филе и ананасами, 600 г",620,0
Салат с крабом и цитрусовой заправкой,468,0
Салат с креветками и соусом Спайси_РП,210,0
Салат с курицей и черносливом,188,0
"Салат с курицей, грибами и грецкими орехами, 600 г",520,0
"Салат с лососем, свежими овощами и печеным перцем",426,0
Салат с тунцом под горчичным соусом_РП,230,0
Салат со свеклой «Идиллия»,118,0
Салат Цезарь с куриной грудкой гриль,342,0
"Салатный микс с лососем, брокколи и кукурузой гриль с соусом «Понзу»",518,0
Солянка мясная сборная,288,0
Сосиски куриные с макаронами «Бантики»,264,0
Спагетти «Карбонара»,392,0
Спаржа по-корейски,238,0
Стрипсы куриные с соусом медово-горчичным,277,0
"Судак филе-кусок без кожи в кляре жареный, вес",1 795,0
Суп «Грибной»,140,0
"Суп «Грибной», 350 грамм",128,0
Суп «Куриный» с домашней лапшой_РП,140,0
Суп «Мисо»,178,0
Суп «Рассольник» с курицей_РП,136,0
Суп «Умницы»,204,0
Суп «Харчо» из баранины,338,0
"Суп Гороховый с копченостями, 310 гр.",256,0
"Суп грибной, 300 г",186,0
"Суп куриный с домашней лапшой, 390 г_РП",167,0
"Суп Куриный, 300 г",178,0
Суп рамен со свининой 320 г_РП,190,0
Суп рыбный Чаудер,257,0
Суп Солянка сборная с каперсами,299,0
Суп турецкий с чечевицей_РП,165,0
Суп щавелевый с курицей и сметаной,288,0
"Суп-гуляш с говядиной, 300 г",320,0
Суп-крем куриный_РП,188,0
Суп-лапша с курицей Халяль_РП,150,0
Суп-пюре из цветной капусты с сыром,265,0
Суп-пюре овощной,146,0
Суп-пюре с грибами пастеризованный_РП,210,0
"Суп-пюре с грибами, 320 г",282,0
Суп-пюре с курицей и овощами пастеризованный_РП,189,0
Сырники с малиной и сметаной,242,0
Сырники творожные из сыра «Рикотта» с черной смородиной,148,0
Сырники творожные с начинкой «Манго-Маракуйя»,300,0
Сырники творожные со сметаной,247,0
Сэндвич ролл с индейкой су-вид_РП,178,0
Сэндвич ролл с кетой и яйцом,208,0
Сэндвич ролл с курицей и соусом чипотле_РП,196,0
Сэндвич ролл с курицей Том Ям_РП,216,0
"Сэндвич с овощами гриль, сулугуни и соусом песто, кафе",190,0
Тефтели в сливочно-томатном соусе с рисом_РП,207,0
Тефтели куриные с томатным соусом и гречкой,186,0
Тефтельки из индейки с тыквенно-апельсиновым муссом и брокколи_РП,260,0
"Тост сытный с лососем, сливочным сыром и авокадо",378,0
Удон с курицей в соусе «Том-ям»_РП,236,0
Удон с курицей и овощами_РП,248,0
Утка конфи в соусе из печеной сливы,448,0
Уха «Норвежская»,290,0
Фасоль с арахисом,154,0
Фетучини в соусе со свининой и шампиньонами,248,0
"Филе куриной грудки с перцем и чесноком, нарезка",228,0
Филе минтая под сыром с картофельным пюре,390,0
Филе минтая под сыром с рисом,420,0
"Филе морского волка с томатным ризотто, оливками каламата и вялеными томатами",468,0
Филе семги на пару с овощами,452,0
Филе судака с картофельным пюре,397,0
Форель радужная филе на коже на гриле 160г,490,0
Фрикадельки «не мясо» в томатно-шпинатном соусе с брокколи,415,0
Фрикадельки «не мясо» с рисом и томатным соусом,340,0
"Фузилли с фрикадельками и грибным соусом, пастеризованные_РП",213,0
"Харчо с говядиной, 300 г",267,0
Хипстер-Хамбургер,395,0
Хот-Дог Классический,330,0
Хот-Дог Классический + Картофель по-техасски + Напиток «Вкус-Кола» газированный,579,0
Хот-Дог с куриной люля,315,0
Хот-Дог Суздальский,340,0
Хот-Дог Цезарь,315,0
Хумус «Ливанский» острый,158,0
Хумус «Марокканский» с вялеными томатами,178,0
Хумус с минихлебцами,110,0
Цыпленок в кисло-сладком соусе с рисом и овощами_РП,259,0
Цыплёнок в пряном соусе «Тикка Масала» с рисом_РП,260,0
Цыпленок карри с лапшой удон_РП,275,0
Цыпленок по-мексикански_РП,198,0
"Чиабатта с курицей, омлетом и моцареллой, кафе рег",220,0
"Чиабатта с курицей, пармезаном и соусом цезарь, кафе",220,0
"Чиабатта с курицей, пармезаном и соусом цезарь, кафе рег",220,0
Чиабатта с курицей_РП,238,0
Шакшука «Классическая»,257,0
"Шаурма с курицей, 180 г_РП",214,0
Шаурма с курицей_РП,163,0
Шашлычок куриный с лапшой и фасолью_РП,264,0
Шницель куриный под сыром с картофельным гратеном и томатным соусом,496,0
"Шницель куриный с картофельным пюре, 305 г",398,0
Шницель куриный с рисом_РП,197,0
Штрудель с вишней и черной смородиной,205,0
Штрудель с яблоком и корицей,200,0
Щечки томленые с картофельным пюре,428,0
Щи из квашеной капусты с грибами по-монастырски,158,0
Яичница глазунья с пикантной сосиской и томатами,280,0
